Data,Loja,Status
"02-04-2018 12:18:36",CARE_0001_FA1_CG1,1
"02-04-2018 12:18:36",CARE_0001_FA1_RF1,0
"02-04-2018 12:03:45",CARE_0008_FA1_CG1,1
"02-04-2018 12:03:45",CARE_0008_FA1_RF1,1
"02-04-2018 12:03:59",CARE_0020_FA1_RF1,1
"02-04-2018 12:13:32",CARE_0039_FA1_CG1,1
"02-04-2018 12:13:32",CARE_0039_FA1_RF1,1
"02-04-2018 12:04:29",CARE_0072_FA1_CG1,0
"02-04-2018 12:04:29",CARE_0072_FA1_RF1,0
"02-04-2018 12:04:51",CARE_0143_FA1_CG1,1
"02-04-2018 12:04:51",CARE_0143_FA1_RF1,1
"02-04-2018 12:04:52",CARE_0146_FA1_CG1,1
"02-04-2018 12:04:52",CARE_0146_FA1_RF1,1
"02-04-2018 12:12:27",CARE_0170_FA1_CG1,1
"02-04-2018 12:12:27",CARE_0170_FA1_RF1,1
"02-04-2018 12:12:28",CARE_0183_FA1_CG1,1
"02-04-2018 12:12:28",CARE_0183_FA1_RF1,0
"02-04-2018 12:12:43",CARE_0191_FA1_CG1,1
"02-04-2018 12:12:43",CARE_0191_FA1_RF1,1
"02-04-2018 12:12:51",CARE_0466_FA1_CG1,1
"02-04-2018 12:13:19",CARE_0602_FA1_CG1,1
"02-04-2018 12:13:19",CARE_0602_FA1_RF1,1
"02-04-2018 12:13:37",CARE_1003_FA1_CG1,0
"02-04-2018 12:13:38",CARE_1003_FA1_RF1,0
"02-04-2018 12:13:46",CARE_1017_FA1_CG1,1
"02-04-2018 12:13:46",CARE_1017_FA1_RF1,0
"02-04-2018 12:14:02",CARE_1203_FA1_CG1,0
"02-04-2018 12:14:02",CARE_1203_FA1_RF1,0
"02-04-2018 12:14:59",CARE_1231_FA1_CG1,1
"02-04-2018 12:14:59",CARE_1231_FA1_RF1,1
"02-04-2018 12:15:01",CARE_1240_FA1_CG1,1
"02-04-2018 12:15:01",CARE_1240_FA1_RF1,1
"02-04-2018 12:15:05",CARE_1270_FA1_CG1,1
"02-04-2018 12:15:05",CARE_1270_FA1_RF1,0
"02-04-2018 12:15:06",CARE_1272_FA1_CG1,1
"02-04-2018 12:15:06",CARE_1272_FA1_RF1,1
"02-04-2018 12:15:06",CARE_1273_FA1_CG1,1
"02-04-2018 12:15:06",CARE_1273_FA1_RF1,1
"02-04-2018 12:15:07",CARE_1275_FA1_CG1,1
"02-04-2018 12:15:07",CARE_1275_FA1_RF1,1
"02-04-2018 12:15:08",CARE_1282_FA1_CG1,1
"02-04-2018 12:15:08",CARE_1282_FA1_RF1,1
"02-04-2018 12:15:25",CARE_1293_FA1_CG1,1
"02-04-2018 12:15:25",CARE_1293_FA1_RF1,1
"02-04-2018 12:15:27",CARE_1297_FA1_CG1,1
"02-04-2018 12:15:27",CARE_1297_FA1_RF1,1
"02-04-2018 12:15:41",CARE_1303_FA1_CG1,1
"02-04-2018 12:15:41",CARE_1303_FA1_RF1,0
"02-04-2018 12:15:42",CARE_1303_FA2_CG1,1
"02-04-2018 12:15:42",CARE_1314_FA1_CG1,1
"02-04-2018 12:15:42",CARE_1314_FA1_RF1,1
"02-04-2018 12:15:43",CARE_1337_FA1_CG1,1
"02-04-2018 12:15:43",CARE_1337_FA1_RF1,1
"02-04-2018 12:15:43",CARE_1337_FA2_RF1,1
"02-04-2018 12:15:44",CARE_1364_FA1_CG1,1
"02-04-2018 12:15:44",CARE_1364_FA1_RF1,1
"02-04-2018 12:15:46",CARE_1390_FA1_CG1,1
"02-04-2018 12:15:46",CARE_1390_FA1_RF1,1
"02-04-2018 12:15:47",CARE_1391_FA1_CG1,1
"02-04-2018 12:15:47",CARE_1391_FA1_RF1,1
"02-04-2018 12:15:48",CARE_1394_FA1_CG1,0
